,,entropy,agree_percent,fsd,verb_ling_0shot,verb_percent_0shot,ppl,ptrue_0shot,ptrue_8shot
llama-7B,CLUTRR,0.290,0.370,0.323,nan,nan,0.633,nan,nan
llama-7B,GSM8K,0.137,0.166,0.148,nan,nan,0.713,nan,nan
llama-7B,DATE,0.216,0.267,0.235,nan,nan,0.526,nan,nan
llama-7B,MULTIARITH,0.232,0.231,0.241,nan,nan,0.544,nan,nan
llama-7B,SAYCAN,0.267,0.214,0.269,nan,nan,0.307,nan,nan
llama-7B,SPORT,0.260,0.221,0.232,nan,nan,0.272,nan,nan
llama-7B,STRATEGYQA,0.390,0.265,0.301,nan,nan,0.408,nan,nan
llama-7B,SVAMP,0.211,0.195,0.211,nan,nan,0.455,nan,nan
llama-7B,average,0.241,0.232,0.235,nan,nan,0.474,nan,nan
llama-13B,ASDIV,0.144,0.135,0.136,nan,nan,0.334,nan,nan
llama-13B,CLUTRR,0.298,0.353,0.320,nan,nan,0.596,nan,nan
llama-13B,GSM8K,0.177,0.179,0.181,nan,nan,0.591,nan,nan
llama-13B,DATE,0.181,0.206,0.185,nan,nan,0.402,nan,nan
llama-13B,MULTIARITH,0.232,0.198,0.222,nan,nan,0.395,nan,nan
llama-13B,SAYCAN,0.209,0.190,0.220,nan,nan,0.250,nan,nan
llama-13B,SPORT,0.170,0.153,0.151,nan,nan,0.194,nan,nan
llama-13B,STRATEGYQA,0.383,0.241,0.285,nan,nan,0.371,nan,nan
llama-13B,SVAMP,0.205,0.180,0.200,nan,nan,0.365,nan,nan
llama-13B,average,0.222,0.204,0.211,nan,nan,0.389,nan,nan
llama-70B,ASDIV,0.107,0.099,0.101,nan,nan,0.209,nan,nan
llama-70B,CLUTRR,0.287,0.347,0.309,nan,nan,0.534,nan,nan
llama-70B,GSM8K,0.201,0.168,0.187,nan,nan,0.375,nan,nan
llama-70B,DATE,0.167,0.166,0.168,nan,nan,0.262,nan,nan
llama-70B,MULTIARITH,0.134,0.108,0.113,nan,nan,0.188,nan,nan
llama-70B,SAYCAN,0.206,0.156,0.191,nan,nan,0.179,nan,nan
llama-70B,SPORT,0.053,0.041,0.044,nan,nan,0.046,nan,nan
llama-70B,STRATEGYQA,0.338,0.192,0.239,nan,nan,0.289,nan,nan
llama-70B,SVAMP,0.145,0.112,0.129,nan,nan,0.183,nan,nan
llama-70B,average,0.182,0.154,0.165,nan,nan,0.252,nan,nan
mistral-7B,ASDIV,0.122,0.112,0.113,nan,nan,0.269,nan,nan
mistral-7B,CLUTRR,0.283,0.334,0.307,nan,nan,0.555,nan,nan
mistral-7B,GSM8K,0.197,0.188,0.196,nan,nan,0.491,nan,nan
mistral-7B,DATE,0.178,0.202,0.187,nan,nan,0.373,nan,nan
mistral-7B,MULTIARITH,0.189,0.160,0.171,nan,nan,0.320,nan,nan
mistral-7B,SAYCAN,0.225,0.186,0.217,nan,nan,0.207,nan,nan
mistral-7B,SPORT,0.116,0.085,0.090,nan,nan,0.109,nan,nan
mistral-7B,STRATEGYQA,0.363,0.239,0.276,nan,nan,0.343,nan,nan
mistral-7B,SVAMP,0.176,0.141,0.162,nan,nan,0.250,nan,nan
mistral-7B,average,0.205,0.183,0.191,nan,nan,0.324,nan,nan
mistral-7B-it,ASDIV,0.130,0.127,0.124,nan,nan,0.288,nan,nan
mistral-7B-it,CLUTRR,0.306,0.397,0.347,nan,nan,0.648,nan,nan
mistral-7B-it,GSM8K,0.193,0.191,0.194,nan,nan,0.508,nan,nan
mistral-7B-it,DATE,0.220,0.244,0.227,nan,nan,0.497,nan,nan
mistral-7B-it,MULTIARITH,0.191,0.164,0.180,nan,nan,0.319,nan,nan
mistral-7B-it,SAYCAN,0.228,0.209,0.229,nan,nan,0.332,nan,nan
mistral-7B-it,SPORT,0.207,0.196,0.194,nan,nan,0.222,nan,nan
mistral-7B-it,STRATEGYQA,0.334,0.269,0.284,nan,nan,0.366,nan,nan
mistral-7B-it,SVAMP,0.166,0.147,0.158,nan,nan,0.274,nan,nan
mistral-7B-it,average,0.220,0.216,0.215,nan,nan,0.384,nan,nan
olmo-7B,ASDIV,0.194,0.158,0.186,nan,nan,0.463,nan,nan
olmo-7B,CLUTRR,0.195,0.254,0.220,nan,nan,0.656,nan,nan
olmo-7B,GSM8K,0.066,0.084,0.069,nan,nan,0.603,nan,nan
olmo-7B,DATE,0.146,0.159,0.154,nan,nan,0.662,nan,nan
olmo-7B,MULTIARITH,0.140,0.145,0.148,nan,nan,0.575,nan,nan
olmo-7B,SAYCAN,0.385,0.339,0.409,nan,nan,0.503,nan,nan
olmo-7B,SPORT,0.413,0.221,0.294,nan,nan,0.306,nan,nan
olmo-7B,STRATEGYQA,0.417,0.286,0.331,nan,nan,0.367,nan,nan
olmo-7B,SVAMP,0.201,0.171,0.198,nan,nan,0.493,nan,nan
olmo-7B,average,0.240,0.202,0.223,nan,nan,0.514,nan,nan
olmo-7B-it,ASDIV,0.204,0.182,0.198,nan,nan,0.436,nan,nan
olmo-7B-it,CLUTRR,0.254,0.365,0.307,nan,nan,0.688,nan,nan
olmo-7B-it,GSM8K,0.146,0.161,0.153,nan,nan,0.616,nan,nan
olmo-7B-it,DATE,0.173,0.213,0.188,nan,nan,0.641,nan,nan
olmo-7B-it,MULTIARITH,0.311,0.246,0.301,nan,nan,0.349,nan,nan
olmo-7B-it,SAYCAN,0.320,0.297,0.336,nan,nan,0.514,nan,nan
olmo-7B-it,SPORT,0.283,0.217,0.232,nan,nan,0.261,nan,nan
olmo-7B-it,STRATEGYQA,0.337,0.277,0.284,nan,nan,0.321,nan,nan
olmo-7B-it,SVAMP,0.220,0.198,0.217,nan,nan,0.473,nan,nan
olmo-7B-it,average,0.250,0.239,0.246,nan,nan,0.478,nan,nan
olmo-7B-it-rl,ASDIV,0.218,0.220,0.218,nan,nan,0.506,nan,nan
olmo-7B-it-rl,CLUTRR,0.311,0.440,0.369,nan,nan,0.742,nan,nan
olmo-7B-it-rl,GSM8K,0.159,0.191,0.170,nan,nan,0.673,nan,nan
olmo-7B-it-rl,DATE,0.185,0.248,0.211,nan,nan,0.684,nan,nan
olmo-7B-it-rl,MULTIARITH,0.302,0.274,0.299,nan,nan,0.449,nan,nan
olmo-7B-it-rl,SAYCAN,0.330,0.322,0.342,nan,nan,0.565,nan,nan
olmo-7B-it-rl,SPORT,0.229,0.168,0.185,nan,nan,0.198,nan,nan
olmo-7B-it-rl,STRATEGYQA,0.327,0.311,0.305,nan,nan,0.328,nan,nan
olmo-7B-it-rl,SVAMP,0.222,0.235,0.231,nan,nan,0.566,nan,nan
olmo-7B-it-rl,average,0.253,0.268,0.259,nan,nan,0.523,nan,nan
